Id,Time
0,5.51662
1,9.18446
2,0
3,2.83564
4,5.33146
5,7.81514
6,5.36647
7,0.170997
8,10.4756
9,0.507955
10,9.94229
11,15.2636
12,5.35555
13,13.1963
14,1.79829
15,2.29761
16,0.76956
17,10.2604
18,4.447
19,7.48223
20,0
21,3.80308
22,7.01121
23,3.13224
24,6.41808
25,5.54594
26,4.74736
27,2.74376
28,4.84621
29,7.79093
30,9.89191
31,5.8338
32,0.440789
33,4.12321
34,8.317
35,1.5787
36,7.61754
37,6.45464
38,4.34057
39,0.134956
40,7.65917
41,7.82893
42,4.89078
43,8.93526
44,2.81393
45,4.53757
46,9.03773
47,4.13789
48,6.5931
49,3.00615
50,0.111779
51,10.5815
52,0.173162
53,9.16571
54,9.93287
55,0
56,4.74586
57,2.78169
58,0
59,6.15493
60,6.62775
61,7.91979
62,0.430088
63,14.4638
64,6.69654
65,10.1402
66,2.83105
67,0.894812
68,9.51033
69,5.0233
70,0.494843
71,2.60722
72,9.15511
73,0.495567
74,10.0518
75,8.91035
76,5.24794
77,6.81431
78,7.92597
79,4.42401
80,12.016
81,8.52816
82,11.0434
83,0.99392
84,1.03255
85,8.17246
86,8.24237
87,0.530826
88,6.22849
89,1.20655
90,4.90713
91,2.47756
92,2.71746
93,9.49589
94,7.21367
95,4.84657
96,9.14465
97,2.07919
98,1.31028
99,0.410424
