Id,time
0,1.97884
1,23.4342
2,0
3,0
4,2.46678
5,18.3159
6,2.46678
7,0.601619
8,39.9795
9,0.982086
10,9.21375
11,43.1338
12,2.46678
13,43.1036
14,1.18616
15,2.05501
16,0
17,23.5016
18,6.33622
19,1.37083
20,0.661213
21,1.3472
22,6.79692
23,1.74606
24,2.46678
25,0.54338
26,6.33622
27,0
28,6.33622
29,17.8521
30,33.0509
31,1.7425
32,0
33,2.46678
34,8.73149
35,1.59723
36,9.31219
37,2.46678
38,1.46883
39,1.33983
40,2.46678
41,31.6732
42,2.18853
43,2.46678
44,1.50375
45,1.71115
46,15.8809
47,0.200511
48,2.43083
49,0.256065
50,0
51,32.1739
52,0
53,25.3516
54,14.0699
55,0
56,1.08603
57,1.60129
58,0
59,0.771924
60,2.46678
61,23.0886
62,0
63,64.9738
64,6.33622
65,2.46678
66,2.00028
67,0
68,12.6759
69,2.31496
70,0
71,1.7765
72,10.169
73,1.54097
74,23.3932
75,9.72368
76,1.7662
77,2.46678
78,15.9106
79,2.3163
80,41.5523
81,2.46678
82,6.22081
83,1.54538
84,1.12098
85,2.46678
86,2.46678
87,0.294459
88,6.33622
89,1.50421
90,1.95204
91,1.63195
92,0.752323
93,20.0494
94,8.19589
95,2.03631
96,2.46678
97,1.48486
98,1.19941
99,1.00685
