Id,time
0,1.32506
1,5.4606
2,0.389449
3,0.389449
4,4.20567
5,4.30744
6,5.20499
7,0.389449
8,29.6253
9,0.389449
10,10.3017
11,23.9703
12,0.389449
13,36.3349
14,0.552354
15,1.42999
16,0.389449
17,14.0075
18,3.2937
19,2.48405
20,0.389449
21,0.389449
22,1.43416
23,1.03188
24,2.22717
25,2.01815
26,1.4303
27,0.389449
28,3.15566
29,3.21932
30,24.0763
31,3.52974
32,0.389449
33,2.60652
34,5.41067
35,0.389449
36,3.62037
37,2.82777
38,4.11775
39,1.42772
40,3.03513
41,3.46748
42,0.42171
43,2.7679
44,1.65145
45,2.84221
46,14.8456
47,0.704564
48,3.56674
49,0.645538
50,0.389449
51,15.8506
52,0.389449
53,13.9929
54,7.47973
55,0.389449
56,1.34066
57,1.37002
58,0.389449
59,2.76917
60,2.73544
61,4.44761
62,0.389449
63,47.9569
64,10.6319
65,1.17467
66,0.727604
67,0.389449
68,16.9739
69,3.86498
70,0.389449
71,1.3154
72,7.20385
73,0.389449
74,16.439
75,3.53532
76,0.389449
77,2.7853
78,5.6111
79,2.8591
80,15.6264
81,8.17149
82,14.9127
83,0.389449
84,1.17079
85,3.90727
86,3.39903
87,0.389449
88,8.7371
89,0.993511
90,3.20132
91,2.70966
92,1.07223
93,10.1823
94,2.71808
95,2.92246
96,4.9803
97,0.389449
98,1.50111
99,0.389449
